date,close,avg_block_size,blocks_size,cost_per_transaction_percent,cost_per_transaction,difficulty,est_transaction_volume_USD,est_transaction_volume,hash_rate,median_confirmation_time,miners_revenue,n_transactions_excl_chains_longer_than_100,n_transactions_excl_popular,n_transactions_per_block,n_transactions,n_unique_addresses,output_volume,total_bitcoins,trade_volume,transaction_fees_USD,transaction_fees,mempool_count_mean,mempool_count_stddev,mempool_count_min,mempool_count_max,mempool_growth_mean,mempool_growth_stddev,mempool_growth_min,mempool_growth_max,mempool_size_mean,mempool_size_stddev,mempool_size_min,mempool_size_max,wallets_created,transactions_per_sec_mean,transactions_per_sec_stddev,transactions_per_sec_min,transactions_per_sec_max,utxo_count_mean,utxo_count_stddev,utxo_count_min,utxo_count_max,news_stories_total,news_stories_positive,news_stories_negative,news_stories_neutral
2016-05-29,526.23,0.680078299,70054.23774,0.920267645,10.66768995,199312000000.0,207196705.0,404554.6411,1456454.9230000002,7.766666667000001,1906764.237,109694,208537,1215.931973,178742,354651,2740859.086,15599650.0,72487384.55,24576.23665,47.98546674,2035.29375,1179.058223,426.0,6494.0,1073.469491,695.0068209,240.31666669999998,8721.633333,2120050.403,964156.1511,518297.0,4806541.0,7420737,2.056064815,0.563362144,0.85,7.7,38870481.42,10509.353570000001,38849160,38889079,5,4,0,1
2016-05-30,533.86,0.8924766140000001,70183.64685,0.83260834,9.150647552999999,199312000000.0,232301687.3,442353.0177,1436639.21,9.466666667,1934163.2230000002,130472,213708,1467.840278,211369,403738,2248431.585,15603250.0,41187985.58,30380.95745,57.85196125,3602.690278,1496.6527230000002,1037.0,9645.0,1247.235035,795.1499137999999,277.8833333,9278.55,4671817.881,1457420.6230000001,1539108.0,8927476.0,7434197,2.377152778,0.7587273059999999,0.783333333,7.066666667000001,38900115.67,18191.51215,38879228,38947936,25,10,4,11
2016-05-31,531.39,0.867019984,70293.75839,0.778997444,7.9638058229999995,199312000000.0,220052229.1,414293.9454,1258297.79,9.516666667,1714201.24,136385,232484,1694.874016,215249,392767,2561419.977,15606425.0,59032595.97,27799.98967,52.33924442,3629.561111,2072.78619,835.0,12385.0,1229.064572,751.8711883999999,3.2,8378.166667,3756092.733,1384948.5659999999,1563810.0,7946812.0,7451927,2.531331019,0.875942659,0.016666667,10.96666667,38932680.88,9420.939006999999,38898841,38941341,43,14,14,15
2016-06-01,536.92,0.8404144240000001,70414.77807,1.016267726,8.415964206,199312000000.0,194100011.2,359797.5998,1426731.3530000001,10.85,1972575.77,147669,229527,1639.055944,234385,405301,2351992.376,15610000.0,34219344.82,30310.109989999997,56.18497783,4707.20625,2061.786746,1158.0,11008.0,1258.0934140000002,724.5113303999999,14.35,9943.833333,4918326.363,1347315.699,1947159.0,7897151.0,7464378,2.641701389,0.8233061309999999,0.033333333,8.716666667,38974683.17,14185.463319999999,38940239,39006117,37,8,24,5
2016-06-02,537.97,0.8268383990000001,70528.88176,0.99787024,8.198105233,199312000000.0,189861752.0,351602.3482,1367284.2130000002,9.866666667,1894573.9209999999,140594,233191,1674.630435,231099,392655,2342608.497,15613450.0,26922628.86,31608.42114,58.53519721,3877.9881939999996,1792.771143,1122.0,9833.0,1260.9524880000001,804.1233268999999,14.16666667,9928.116667,3599361.878,981552.9866,1897057.0,6234284.0,7476162,2.675706019,0.947835378,0.166666667,10.98333333,39045518.42,17432.80304,39005055,39072652,27,9,14,4
2016-06-03,569.19,0.832558444,70647.10506,1.260556234,8.724917443999999,199312000000.0,162425728.9,285960.7904,1406915.64,9.633333333,2047467.6519999998,139490,194724,1652.598592,234669,402066,1938990.174,15617000.0,60092817.48,31067.651639999996,54.69656979,2796.9916670000002,1593.0469039999998,643.0,8830.0,1239.303576,722.897365,7.516666667000001,8095.816667,2774521.811,996993.4449,825174.0,6365595.0,7486653,2.6268287040000002,0.89962057,0.033333333,9.733333333,39114591.46,17197.518659999998,39073278,39133256,24,9,8,7
2016-06-04,572.73,0.840556008,70747.13123,1.291088655,8.814599018,199312000000.0,134268325.3,234022.9465,1179034.937,10.61666667,1733523.116,119944,185874,1652.647059,196665,368869,1493595.2769999998,15619975.0,45168189.8,26646.61579,46.44371282,2918.158333,1573.313876,506.0,9061.0,1066.629815,729.4811067,0.0,9151.3,2438939.339,1026878.635,622771.0,6078702.0,7504310,2.219293981,0.720382196,0.0,6.9,39183421.83,24267.43486,39126880,39218555,7,1,1,5
2016-06-05,574.98,0.613488468,70852.03776,1.7716896640000002,13.01331768,199312000000.0,139945580.8,243799.1373,1694243.4819999998,6.533333333,2479401.39,119034,218423,1120.752941,190528,368586,1835595.215,15624225.0,30675648.7,25465.8901,44.3641164,1770.276389,1204.823708,302.0,8085.0,1024.074259,657.0781366,182.5333333,8999.433332999999,1390352.842,1244417.688,300662.0,6779079.0,7514984,2.1626504630000003,0.662958092,0.95,7.733333332999999,39254487.83,11469.61556,39213321,39271313,9,2,4,3
2016-06-06,585.54,0.7054571,70971.96546,1.411418096,11.36948594,199312000000.0,178161282.1,304809.7213,1684335.625,6.516666667000001,2514600.576,134016,245115,1301.005882,221171,414350,1964198.1840000001,15628475.0,34509545.46,30475.575660000002,52.13956486,1967.5277780000001,1419.787652,296.0,8417.0,1256.631551,799.3811808999999,302.6,9109.966667,1467132.7380000001,878190.2037,279696.0,4607429.0,7525984,2.5327777780000003,0.6926283809999999,0.533333333,6.0,39313754.75,13418.75965,39270233,39332835,47,16,20,11
2016-06-07,576.6,0.802703761,71085.9494,1.044423085,8.727854104,199312000000.0,207725690.1,359673.2523,1406915.64,9.933333333,2169535.062,141572,227022,1775.5428570000001,248576,424994,2321510.899,15631975.0,47316934.32,32637.0617,56.5104784,3319.348611,2254.050805,351.0,10311.0,1114.514664,636.240521,136.0333333,8255.383333,2414683.377,1282183.8,357540.0,6224939.0,7536971,2.437638889,0.72755689,0.41666666700000005,8.966666667,39378963.0,21527.82124,39328726,39419295,30,15,9,6
2016-06-08,581.65,0.8022400279999999,71201.47196,1.180755032,9.187107351,196423000000.0,178904099.3,309158.9467,1403462.34,7.916666667,2112419.154,136723,232571,1596.756944,229933,401953,2004179.705,15635575.0,28300189.16,29171.154469999998,50.40981971,2970.2583329999998,2174.292148,286.0,11737.0,1130.359144,723.2849932999999,332.46666669999996,9947.516667,1950299.0680000002,1121143.201,308060.0,5206364.0,7549230,2.513483796,0.876450944,1.133333333,8.5,39451431.25,8884.385547,39422145,39463540,23,11,7,5
2016-06-09,574.63,0.7206210909999999,71320.37444,1.137642532,10.19994909,196061000000.0,211910903.4,367269.6292,1608133.9309999999,7.083333333,2410788.567,138846,225233,1432.442424,236353,426447,2095207.935,15639700.0,30222288.21,30704.81682,53.21550949,2369.095139,1813.9790899999998,294.0,9405.0,1175.604155,877.0915386,228.05,17540.38333,1505053.4740000002,880898.684,257754.0,4748744.0,7559711,2.526319444,0.731151462,0.7666666670000001,6.233333332999999,39526422.67,18449.45634,39464664,39558871,43,17,11,15
2016-06-10,577.47,0.822652542,71438.83641,0.954288737,9.268670933,196061000000.0,221804836.8,382778.5124,1403462.34,8.683333333,2116658.575,134850,213159,1585.881944,228367,407301,2301811.955,15643300.0,24377615.47,30602.57487,52.81223012,2337.357639,1470.120989,246.0,7520.0,1152.565752,752.3181503,0.0,8561.4,1998638.4780000001,1245233.267,307003.0,5840826.0,7570086,2.466354167,0.726741449,0.0,6.05,39611194.54,19009.54987,39562471,39637121,26,15,3,8
